gs-skipgram(eig)-1: {'nmi': 36.541, 'ari': 30.7699, 'acc': 55.9202, 'loss': 0.7181}
gs-skipgram(eig)-2: {'nmi': 47.8405, 'ari': 43.6513, 'acc': 64.5442, 'loss': 0.0908}
gs-skipgram(eig)-3: {'nmi': 53.4499, 'ari': 50.1651, 'acc': 69.4854, 'loss': 0.0676}
gs-skipgram(eig)-4: {'nmi': 53.1208, 'ari': 48.9772, 'acc': 67.8776, 'loss': 0.0642}
gs-skipgram(eig)-5: {'nmi': 54.0725, 'ari': 50.7074, 'acc': 70.4992, 'loss': 0.0466}
gs-skipgram(eig)-6: {'nmi': 55.384, 'ari': 51.0527, 'acc': 70.5494, 'loss': 0.0404}
gs-skipgram(eig)-7: {'nmi': 57.9568, 'ari': 54.5682, 'acc': 73.1556, 'loss': 0.0363}
gs-skipgram(eig)-8: {'nmi': 57.6884, 'ari': 54.5254, 'acc': 73.1078, 'loss': 0.0367}
gs-skipgram(eig)-9: {'nmi': 55.623, 'ari': 52.2554, 'acc': 72.1556, 'loss': 0.0324}
gs-skipgram(eig)-10: {'nmi': 56.0821, 'ari': 52.1781, 'acc': 71.0231, 'loss': 0.0298}
gs-skipgram(eig)-11: {'nmi': 57.0653, 'ari': 53.3329, 'acc': 72.4238, 'loss': 0.0283}
gs-skipgram(eig)-12: {'nmi': 57.2938, 'ari': 53.8407, 'acc': 73.7131, 'loss': 0.0258}
gs-skipgram(eig)-13: {'nmi': 55.8319, 'ari': 51.3281, 'acc': 70.4032, 'loss': 0.0237}
gs-skipgram(eig)-14: {'nmi': 58.3461, 'ari': 54.7253, 'acc': 73.3703, 'loss': 0.0232}
gs-skipgram(eig)-15: {'nmi': 58.7651, 'ari': 55.4468, 'acc': 74.0713, 'loss': 0.0229}
gs-skipgram(eig)-16: {'nmi': 57.3457, 'ari': 53.8943, 'acc': 72.9599, 'loss': 0.0216}
gs-skipgram(eig)-17: {'nmi': 59.6746, 'ari': 56.8194, 'acc': 75.3168, 'loss': 0.0213}
gs-skipgram(eig)-18: {'nmi': 57.9385, 'ari': 54.6263, 'acc': 73.6341, 'loss': 0.02}
gs-skipgram(eig)-19: {'nmi': 57.4092, 'ari': 53.3669, 'acc': 72.2925, 'loss': 0.0184}
gs-skipgram(eig)-20: {'nmi': 58.0034, 'ari': 54.4951, 'acc': 73.7322, 'loss': 0.0173}
gs-skipgram(eig)-21: {'nmi': 58.3509, 'ari': 55.3314, 'acc': 74.5081, 'loss': 0.0168}
gs-skipgram(eig)-22: {'nmi': 57.4909, 'ari': 54.2673, 'acc': 74.0798, 'loss': 0.0173}
gs-skipgram(eig)-23: {'nmi': 56.2739, 'ari': 51.1603, 'acc': 69.7626, 'loss': 0.0159}
gs-skipgram(eig)-24: {'nmi': 57.3672, 'ari': 52.9584, 'acc': 72.0762, 'loss': 0.0159}
gs-skipgram(eig)-25: {'nmi': 58.407, 'ari': 55.2992, 'acc': 74.081, 'loss': 0.0152}
gs-skipgram(eig)-26: {'nmi': 57.1654, 'ari': 52.9751, 'acc': 71.4615, 'loss': 0.0156}
gs-skipgram(eig)-27: {'nmi': 57.4365, 'ari': 53.6695, 'acc': 71.9899, 'loss': 0.0155}
gs-skipgram(eig)-28: {'nmi': 57.8483, 'ari': 54.3312, 'acc': 72.6977, 'loss': 0.0147}
gs-skipgram(eig)-29: {'nmi': 58.3874, 'ari': 55.0433, 'acc': 73.44, 'loss': 0.0144}
gs-skipgram(eig)-30: {'nmi': 58.3759, 'ari': 54.4643, 'acc': 72.4307, 'loss': 0.0138}
gs-skipgram(eig)-31: {'nmi': 58.6135, 'ari': 55.2996, 'acc': 73.2646, 'loss': 0.0141}
gs-skipgram(eig)-32: {'nmi': 59.2281, 'ari': 56.4802, 'acc': 74.5571, 'loss': 0.0135}
gs-skipgram(eig)-33: {'nmi': 59.3868, 'ari': 56.1812, 'acc': 74.4105, 'loss': 0.0137}
gs-skipgram(eig)-34: {'nmi': 59.1575, 'ari': 55.6856, 'acc': 73.7881, 'loss': 0.0129}
gs-skipgram(eig)-35: {'nmi': 58.2744, 'ari': 54.6694, 'acc': 72.8708, 'loss': 0.0128}
gs-skipgram(eig)-36: {'nmi': 57.5657, 'ari': 53.1252, 'acc': 71.2423, 'loss': 0.013}
gs-skipgram(eig)-37: {'nmi': 59.637, 'ari': 56.7145, 'acc': 75.3209, 'loss': 0.0124}
gs-skipgram(eig)-38: {'nmi': 58.2794, 'ari': 54.8583, 'acc': 73.0936, 'loss': 0.0122}
gs-skipgram(eig)-39: {'nmi': 57.721, 'ari': 53.9644, 'acc': 72.1807, 'loss': 0.0124}
gs-skipgram(eig)-40: {'nmi': 58.2419, 'ari': 54.6119, 'acc': 72.2245, 'loss': 0.0117}
gs-skipgram(eig)-41: {'nmi': 59.2092, 'ari': 56.3582, 'acc': 74.9153, 'loss': 0.0113}
gs-skipgram(eig)-42: {'nmi': 59.1629, 'ari': 56.3102, 'acc': 74.637, 'loss': 0.0118}
gs-skipgram(eig)-43: {'nmi': 59.3475, 'ari': 56.1521, 'acc': 74.3104, 'loss': 0.0112}
gs-skipgram(eig)-44: {'nmi': 58.3482, 'ari': 54.3585, 'acc': 71.8963, 'loss': 0.0111}
gs-skipgram(eig)-45: {'nmi': 58.5967, 'ari': 55.249, 'acc': 73.3833, 'loss': 0.0108}
gs-skipgram(eig)-46: {'nmi': 58.3597, 'ari': 54.5782, 'acc': 72.7711, 'loss': 0.0113}
gs-skipgram(eig)-47: {'nmi': 60.0471, 'ari': 57.4341, 'acc': 75.7674, 'loss': 0.0112}
gs-skipgram(eig)-48: {'nmi': 58.431, 'ari': 54.4291, 'acc': 72.2338, 'loss': 0.0105}
gs-skipgram(eig)-49: {'nmi': 59.2476, 'ari': 56.0921, 'acc': 74.4449, 'loss': 0.0103}
gs-skipgram(eig)-50: {'nmi': 59.0027, 'ari': 56.036, 'acc': 74.7905, 'loss': 0.0103}
gs-skipgram(eig)-51: {'nmi': 58.5367, 'ari': 55.205, 'acc': 72.8549, 'loss': 0.0105}
gs-skipgram(eig)-52: {'nmi': 58.3846, 'ari': 54.941, 'acc': 73.0126, 'loss': 0.0096}
gs-skipgram(eig)-53: {'nmi': 58.3716, 'ari': 54.872, 'acc': 72.737, 'loss': 0.0102}
gs-skipgram(eig)-54: {'nmi': 59.5304, 'ari': 57.0853, 'acc': 75.5409, 'loss': 0.0099}
gs-skipgram(eig)-55: {'nmi': 59.0694, 'ari': 55.9502, 'acc': 73.7743, 'loss': 0.0103}
gs-skipgram(eig)-56: {'nmi': 58.8162, 'ari': 55.4611, 'acc': 73.2561, 'loss': 0.0102}
gs-skipgram(eig)-57: {'nmi': 58.4635, 'ari': 55.1409, 'acc': 73.6455, 'loss': 0.01}
gs-skipgram(eig)-58: {'nmi': 57.8041, 'ari': 54.154, 'acc': 72.5211, 'loss': 0.0098}
gs-skipgram(eig)-59: {'nmi': 58.0856, 'ari': 54.7815, 'acc': 73.1734, 'loss': 0.0102}
gs-skipgram(eig)-60: {'nmi': 57.6321, 'ari': 54.1243, 'acc': 72.4206, 'loss': 0.0099}
gs-skipgram(eig)-61: {'nmi': 58.4194, 'ari': 55.1938, 'acc': 73.2281, 'loss': 0.0095}
gs-skipgram(eig)-62: {'nmi': 58.8911, 'ari': 56.0227, 'acc': 74.4267, 'loss': 0.0096}
gs-skipgram(eig)-63: {'nmi': 57.6055, 'ari': 53.6202, 'acc': 71.3327, 'loss': 0.0095}
gs-skipgram(eig)-64: {'nmi': 59.4653, 'ari': 56.4921, 'acc': 75.1718, 'loss': 0.0099}
gs-skipgram(eig)-65: {'nmi': 58.8032, 'ari': 55.3177, 'acc': 73.1021, 'loss': 0.0093}
gs-skipgram(eig)-66: {'nmi': 59.6401, 'ari': 56.682, 'acc': 74.5324, 'loss': 0.0095}
gs-skipgram(eig)-67: {'nmi': 58.9387, 'ari': 55.6405, 'acc': 73.562, 'loss': 0.0093}
gs-skipgram(eig)-68: {'nmi': 59.0914, 'ari': 56.0004, 'acc': 74.3274, 'loss': 0.0096}
gs-skipgram(eig)-69: {'nmi': 58.1375, 'ari': 54.7336, 'acc': 73.1848, 'loss': 0.0091}
gs-skipgram(eig)-70: {'nmi': 59.0093, 'ari': 56.1122, 'acc': 74.6852, 'loss': 0.0093}
gs-skipgram(eig)-71: {'nmi': 58.6756, 'ari': 55.4967, 'acc': 73.9615, 'loss': 0.0094}
gs-skipgram(eig)-72: {'nmi': 57.1597, 'ari': 52.6814, 'acc': 70.4676, 'loss': 0.0093}
gs-skipgram(eig)-73: {'nmi': 57.7587, 'ari': 53.501, 'acc': 71.0166, 'loss': 0.0091}
gs-skipgram(eig)-74: {'nmi': 58.4888, 'ari': 55.1133, 'acc': 73.3748, 'loss': 0.009}
gs-skipgram(eig)-75: {'nmi': 58.5077, 'ari': 55.289, 'acc': 73.9003, 'loss': 0.0083}
gs-skipgram(eig)-76: {'nmi': 57.9089, 'ari': 53.9699, 'acc': 71.611, 'loss': 0.0088}
gs-skipgram(eig)-77: {'nmi': 58.0315, 'ari': 54.4598, 'acc': 72.2934, 'loss': 0.0092}
gs-skipgram(eig)-78: {'nmi': 58.5359, 'ari': 55.3237, 'acc': 73.3772, 'loss': 0.0092}
gs-skipgram(eig)-79: {'nmi': 57.9842, 'ari': 54.4417, 'acc': 72.9534, 'loss': 0.0091}
gs-skipgram(eig)-80: {'nmi': 58.6066, 'ari': 55.3618, 'acc': 73.1973, 'loss': 0.0088}
gs-skipgram(eig)-81: {'nmi': 59.015, 'ari': 56.0962, 'acc': 74.0199, 'loss': 0.0088}
gs-skipgram(eig)-82: {'nmi': 58.9875, 'ari': 55.551, 'acc': 72.8708, 'loss': 0.0084}
gs-skipgram(eig)-83: {'nmi': 58.7509, 'ari': 55.548, 'acc': 73.7593, 'loss': 0.0086}
gs-skipgram(eig)-84: {'nmi': 59.2361, 'ari': 56.0519, 'acc': 73.7208, 'loss': 0.0086}
gs-skipgram(eig)-85: {'nmi': 58.9844, 'ari': 56.0117, 'acc': 74.3229, 'loss': 0.0086}
gs-skipgram(eig)-86: {'nmi': 58.6517, 'ari': 55.4943, 'acc': 73.7431, 'loss': 0.0083}
gs-skipgram(eig)-87: {'nmi': 58.1175, 'ari': 54.54, 'acc': 72.4218, 'loss': 0.0084}
gs-skipgram(eig)-88: {'nmi': 59.0151, 'ari': 55.832, 'acc': 73.5551, 'loss': 0.0089}
gs-skipgram(eig)-89: {'nmi': 57.9214, 'ari': 53.9293, 'acc': 72.0547, 'loss': 0.0085}
gs-skipgram(eig)-90: {'nmi': 59.0815, 'ari': 56.0557, 'acc': 74.483, 'loss': 0.0087}
gs-skipgram(eig)-91: {'nmi': 59.2169, 'ari': 56.0901, 'acc': 73.9664, 'loss': 0.0086}
gs-skipgram(eig)-92: {'nmi': 57.8502, 'ari': 53.6068, 'acc': 71.455, 'loss': 0.0084}
