so-bkm-tfidf-1-1-3: [[0.624216845246281, 0.4703277208923799], [0.618306233467107, 0.4883680601714048], [0.6325118564820832, 0.5198610359830497], [0.6296338846371796, 0.5288309983120696], [0.6199244569090595, 0.4909932446244904], [0.6291690937135732, 0.5127288206539239], [0.6609928454819896, 0.5244581395950639], [0.6673076650549168, 0.5559682748993887], [0.6321076396651462, 0.535180231861074], [0.6418920290497635, 0.5151678180811321], [0.6225620077812303, 0.49089044502474993], [0.6216266103291868, 0.4972126786422926], [0.6469697526679549, 0.5343635638555265], [0.6249485866570519, 0.5081925439382132], [0.6457958829835712, 0.5514076866564972], [0.6364563730008476, 0.5126355888904391], [0.6446167821999075, 0.536381774144067], [0.6487691615376231, 0.5116080267168176], [0.6324663986362716, 0.5343121429793317], [0.657489517533589, 0.5308185220183225]]
so-bkm-tfidf-1-1-6: [[0.6587556806579855, 0.5702625225799707], [0.6260996760050278, 0.5628142965278405], [0.6229118637372187, 0.5592219862492658], [0.6640363082829555, 0.6279620780584255], [0.6130048025040438, 0.5033545631498124], [0.6229479394351586, 0.5491146300492663], [0.6484064709198778, 0.561342413709148], [0.6628089580434177, 0.5680650786943426], [0.6666310361679686, 0.576348649494796], [0.6257846280786477, 0.5567001517564254], [0.6261135797548257, 0.5219738732735568], [0.6361391052550739, 0.573531516600884], [0.6334682621176685, 0.5577162005194062], [0.6336379714319481, 0.5545576154425984], [0.6287011904885573, 0.5732454359672347], [0.6498666958279051, 0.6049318165807703], [0.6685105859863382, 0.586182162085479], [0.6366028132117257, 0.5809110085702218], [0.6599078356301362, 0.5711611202835001], [0.6330642843525792, 0.5309378083693895]]
so-bkm-tfidf-1-1-9: [[0.6027230914689162, 0.5370320378706497], [0.5984254173035095, 0.5184923033127072], [0.6317219058470637, 0.5741382234676857], [0.6014682696218459, 0.5149845810977816], [0.6221127635546362, 0.5544901198115176], [0.6336374853286044, 0.5642271667958154], [0.6021769675324887, 0.526994267848901], [0.6648130551508706, 0.6108804588785693], [0.6351827795774434, 0.5567032891740318], [0.5862045006571948, 0.5050939581296796], [0.6298424223718483, 0.5489085082289388], [0.6275112894425622, 0.5616177044863513], [0.6426195312456493, 0.5724594095669762], [0.6286599885827299, 0.5633791588562113], [0.6378069888389261, 0.5603329291509447], [0.6018345107667921, 0.5400153442177285], [0.6086890538229456, 0.5392950227853026], [0.6260654282079283, 0.5574436507794824], [0.5748132133188266, 0.4612830040008476], [0.6402662701179354, 0.5485856370071945]]
so-bkm-tfidf-1-1-12: [[0.6553049280038865, 0.6077130170265029], [0.6588383780358693, 0.6022532912742774], [0.6349597188158396, 0.5463013120975175], [0.6368808553807398, 0.5417409554543484], [0.6332904380845675, 0.5377009112767397], [0.6467780919411764, 0.5625628548919576], [0.6256462335270268, 0.5648452045676318], [0.6139786996469969, 0.536732526226995], [0.5999465700624248, 0.5261175188419897], [0.6406129962422614, 0.5780439216306391], [0.6343196537101894, 0.5581942125082914], [0.5847644143264177, 0.49206448754775917], [0.5999429015816734, 0.5325916786656222], [0.6573712569960032, 0.5729978759673116], [0.6687732679529244, 0.6327413036663704], [0.6122688536743006, 0.5355636705887876], [0.6454239992464643, 0.5517279754534149], [0.6443310816857172, 0.5926314891995061], [0.61734814639545, 0.5328273352290543], [0.6562398176356224, 0.5924623496613163]]
so-bkm-tfidf-1-1-15: [[0.6246929309504801, 0.5417784409508157], [0.6143368832879725, 0.5457088410480143], [0.6035783353422026, 0.5281328801230093], [0.6109257854926928, 0.5345182858369406], [0.6165417469851768, 0.5449531575749137], [0.6595479979943885, 0.6085946252740799], [0.6341184058443127, 0.5661174251558757], [0.6312341008039998, 0.572498695677744], [0.5939099242134522, 0.5180414629585051], [0.6337186844935552, 0.5501893481674538], [0.6539132491358634, 0.5941450081688323], [0.5889239844784976, 0.5085914727343428], [0.6461850997007986, 0.5513814861463029], [0.6606501648194841, 0.6007092116640328], [0.627589046765037, 0.5481883326131649], [0.603326938853124, 0.535788264832752], [0.6152002316777745, 0.543948630100742], [0.659920850508864, 0.6109298400768792], [0.6086312170688155, 0.5485385047095401], [0.6258822762727301, 0.5467727414743385]]
so-bkm-tfidf-s-1-3: [[0.6720540182052684, 0.5270695620959415], [0.7058648895909606, 0.43821043574026614], [0.704899810205205, 0.5196069820386097], [0.6909142090192893, 0.5006753287528338], [0.7194986451455638, 0.45418348932066244], [0.724713924912954, 0.4650080235373216], [0.6994168564311399, 0.5150009220539719], [0.7042824523806046, 0.5355601042708635], [0.7207274562502497, 0.4741336914250216], [0.7153875454674816, 0.45397058597712125], [0.6809578311275689, 0.46255712135169136], [0.7025116014153465, 0.5208307547988128], [0.7081825432457126, 0.5308220124791281], [0.698634494194789, 0.5224391899267793], [0.7039812929092076, 0.5487684179002655], [0.7132914701676161, 0.4552184103759672], [0.6954938604343014, 0.49698704148313044], [0.7116564302109737, 0.4527876901488939], [0.7122483924173316, 0.45778896314437906], [0.7140541311017319, 0.45729988402097554]]
so-bkm-tfidf-s-1-6: [[0.6890828089818156, 0.4259558191563163], [0.7202525174242221, 0.4746905505039291], [0.6719046770173998, 0.46193482591508805], [0.6952356780565618, 0.5070596638099537], [0.673783115555793, 0.4707056946117427], [0.6932447786504758, 0.5366874481308853], [0.7207079691243299, 0.47153787751043663], [0.6823643888930905, 0.5165973717504269], [0.6461972104795551, 0.4157622474135729], [0.6763686711564486, 0.4869526183739133], [0.696432542499621, 0.5466598377056423], [0.6964537536381187, 0.5078439899025484], [0.692988606598506, 0.5035243650509593], [0.7060270255825319, 0.5306586894002765], [0.6871415022036584, 0.48992638790751253], [0.718862979898635, 0.4716551989660935], [0.6815625584692817, 0.5286682964186558], [0.7073160696624254, 0.5286791886570178], [0.6927413685045638, 0.5015946797464285], [0.6931555081517989, 0.5419464253907058]]
so-bkm-tfidf-s-1-9: [[0.7088684542364804, 0.5114720374257997], [0.6936488258147683, 0.5369735219294507], [0.6976071777912031, 0.5204406689632798], [0.7089989384540287, 0.5345868417405297], [0.6812735017410376, 0.5287053548183831], [0.6936940123248035, 0.47952322047359636], [0.7037804774312985, 0.5619957391582729], [0.7092425476845055, 0.5650303074254365], [0.6905581046527122, 0.4962446036848881], [0.7072355025632946, 0.5097979351096833], [0.6916925792629853, 0.5618088222515972], [0.7081076454529475, 0.5662550841576409], [0.6632692787715857, 0.4591818138368346], [0.6604907638917293, 0.42672897437386337], [0.6813107879316772, 0.4756719175802749], [0.7060425918468815, 0.5037469291110127], [0.704422514673621, 0.5076817445183794], [0.699345853673499, 0.5078323138570319], [0.7098771110864488, 0.49163453825933495], [0.6979401379823287, 0.5390352792271713]]
so-bkm-tfidf-s-1-12: [[0.6751207451556042, 0.5501694704745614], [0.6699487762117369, 0.5511838378725372], [0.6753188252514755, 0.5494491281490224], [0.6991358710877021, 0.5878730819075275], [0.6507131989909244, 0.5414233986480556], [0.682374034341508, 0.5590176525044499], [0.6885134508960472, 0.5813687509023433], [0.6842672588105532, 0.5838736872179097], [0.6841141989480194, 0.6035873665677238], [0.6846974848800896, 0.5851795174985718], [0.6714852774294179, 0.5439866808193178], [0.6815058037531488, 0.5603313634751178], [0.6878437576654125, 0.5824987065423686], [0.6838497827582711, 0.5589776030756428], [0.6754112134782138, 0.581362886721393], [0.6650600089427251, 0.5348578625563157], [0.6826342341833553, 0.5635251355453882], [0.6862837999653537, 0.5629485980120924], [0.6722201033521352, 0.5827973124437583], [0.6758623323914527, 0.567156648192919]]
so-bkm-tfidf-s-1-15: [[0.6709759941257541, 0.5759614517158034], [0.6699611574060595, 0.5764863438528754], [0.6435124866439125, 0.5290305944096696], [0.6619328447041218, 0.569637867100093], [0.6716490703932162, 0.584549776474311], [0.6473787494388977, 0.5837728742668854], [0.6748977248533805, 0.5899474428026055], [0.674901215763697, 0.5916961741323978], [0.6609411731910365, 0.5588689770817711], [0.6628598090988757, 0.5750495255479997], [0.6543616620381865, 0.5636182693331223], [0.6632761448305976, 0.6103522243759341], [0.6775004653852492, 0.5871980161674715], [0.6534456889941668, 0.5820142983627068], [0.6670345010437077, 0.573147687459966], [0.648926520061945, 0.5486847908655783], [0.6684904982316667, 0.5895921412750479], [0.6500439348567594, 0.5752992061758843], [0.6477693459345037, 0.5252136678252408], [0.6768600143142898, 0.5927775558152815]]
gs-bkm-tfidf-1-1-3: [[0.5377719628852228, 0.48293651319380526], [0.5182677804235506, 0.45903466081424626], [0.557377140271244, 0.5294468169707865], [0.5709081754527205, 0.537669009849901], [0.5790072804801596, 0.5533546696372635], [0.5261833971101665, 0.4721948315221503], [0.5693820384718564, 0.5744207936716278], [0.5952598799601838, 0.5919687921014549], [0.5631691105177339, 0.5503192268556768], [0.5157871856242213, 0.4550738838651526], [0.4862373789379911, 0.44244753877717696], [0.5727000196188192, 0.5716901891756551], [0.5707486170081187, 0.5353758145652469], [0.5034332657305854, 0.4471045042267721], [0.5456766602705899, 0.5058746752460129], [0.5481293165659623, 0.5330781753384519], [0.5270954890261177, 0.48001958065265704], [0.5741715155147948, 0.5607650132762855], [0.5089142345144225, 0.4564324759138905], [0.5095498911520181, 0.4356004991678548]]
