so-bkm-wv1-s-0.5-3: [[0.6347373224875277, 0.48212384063488295], [0.6272785242339396, 0.412459283675979], [0.6290504817870809, 0.4573092637424124], [0.6297445104837048, 0.4681940176157598], [0.6303333596206077, 0.44648240364376696], [0.6168577379786014, 0.4760746259676932], [0.6341522103075201, 0.4319482792992533], [0.632390842376501, 0.4757854891285622], [0.6159702439962774, 0.45004577440974336], [0.6240682976195997, 0.48107085952258155], [0.6288759606987093, 0.4574012497482718], [0.6330916303379401, 0.4600827192585807], [0.6140524596083288, 0.4480087744597684], [0.5989344128156054, 0.45238714900115246], [0.6334330603701128, 0.45733441383940726], [0.6447820814790287, 0.44804323526113254], [0.6081397359797538, 0.46760547462011615], [0.6250267309738068, 0.44428962278837225], [0.6163797307372749, 0.45638957061379826], [0.6432036931726712, 0.41536517160932684]]
so-bkm-wv1-s-0.5-6: [[0.52485932563261, 0.3874305740373353], [0.5307441336059294, 0.4090979925613557], [0.5321363016091947, 0.40734359191014863], [0.531764136311344, 0.40834275921595237], [0.5463250355600748, 0.4104778484075956], [0.5466290719243474, 0.4091404496124092], [0.5331906170648265, 0.4067617549523217], [0.538149454139929, 0.4076085339714054], [0.5414640842908751, 0.4158426679758804], [0.5349528081450546, 0.39663518186015506], [0.5351812345359331, 0.39172571199794465], [0.5203802825617273, 0.37885945176592656], [0.5399751780223516, 0.41426647124564586], [0.5370533956566075, 0.40991153667958424], [0.5327219910523094, 0.40272511585181586], [0.5181666021909976, 0.38882572699089407], [0.5378434860791194, 0.40906540909288375], [0.5468085270147269, 0.41785769006487167], [0.5384730946450174, 0.41201881421630254], [0.531088035118563, 0.4032191744298596]]
so-bkm-wv1-s-0.5-9: [[0.4897575880898543, 0.36321939555891836], [0.4810147509148158, 0.34173777487771984], [0.4828478376083728, 0.338090691451737], [0.4796281588595295, 0.36317648593315294], [0.4698753291510206, 0.3322599566434088], [0.48820568646640916, 0.3629617199106798], [0.4701071458491827, 0.33618154575877685], [0.48650562979700646, 0.3302041347743352], [0.47711423262327446, 0.33874870088416703], [0.4707057014902779, 0.3407639107822603], [0.48654096381688927, 0.36291848403418325], [0.47995665386332337, 0.3432714405411828], [0.48374336070118884, 0.3548730289342134], [0.4718481023180909, 0.34753298371867136], [0.47952862795626516, 0.33757815675096214], [0.490507957381388, 0.3643105147085288], [0.48038500464754574, 0.3391130601268701], [0.47885232060522265, 0.3475381827025369], [0.4752397722303631, 0.3359200701987055], [0.4740242354006178, 0.3409815372602709]]
so-bkm-wv1-s-0.5-12: [[0.10879407606277094, 0.03702294721212384], [0.10797279679512461, 0.04235981305998073], [0.10968664286913753, 0.05618745953824014], [0.10841042146123982, 0.05758457995370285], [0.1093951426048712, 0.05640353346903148], [0.10957669362501765, 0.05647546669827478], [0.10953069498726264, 0.05741352463145428], [0.1088826087517058, 0.057874005070142634], [0.10944505661158803, 0.05563834898866904], [0.10864019388897743, 0.05748364320994765], [0.10929654658759104, 0.05762420752559877], [0.10828785038773357, 0.04324715016006505], [0.10811017757857094, 0.04193518040861389], [0.1086795745061196, 0.057635622659281856], [0.109793388677112, 0.05844752773306336], [0.10794593523424285, 0.0424070000598174], [0.10887416448702014, 0.04139145050452132], [0.10856953340518156, 0.05769090828070866], [0.10870055380885843, 0.05752176949522838], [0.10734165530936125, 0.058053009394921154]]
gs-bkm-wv1-s-0.5-3: [[0.6316088393143134, 0.5867195074239439], [0.6428950204094472, 0.6406223481678339], [0.6111134319620232, 0.593682095132239], [0.6414852351884401, 0.6330058165990472], [0.6333617368052343, 0.5954865288350593], [0.6433045798101025, 0.6412687308108788], [0.6632637109794663, 0.653526164554248], [0.6428722529531236, 0.6396888391979881], [0.6310347936602886, 0.5876805706371195], [0.6332357841665603, 0.5953515986509919], [0.5944536164048685, 0.5364574998971636], [0.6316088393143136, 0.5867195074239439], [0.6433045798101027, 0.6412687308108788], [0.6433045798101024, 0.6412687308108788], [0.6433045798101024, 0.6412687308108788], [0.6316088393143136, 0.5867195074239439], [0.6433045798101025, 0.6412687308108788], [0.6311910412986933, 0.5877967345457555], [0.643430450255032, 0.6393152216670481], [0.6443846722056175, 0.63486836445783]]
gs-bkm-wv1-s-0.5-6: [[0.5233953417793556, 0.4638914134625214], [0.5248175112253485, 0.47131507563376734], [0.5257203023935176, 0.4748765401046748], [0.5206742048080001, 0.5052930628925277], [0.4910600722028309, 0.45376403967585804], [0.5256235978441173, 0.47497246771260737], [0.5202747371965685, 0.49925754333414574], [0.5207409216078583, 0.5023807431095607], [0.5218406121806478, 0.5084999774052202], [0.5229512920701738, 0.4695393842078263], [0.5205919484912329, 0.5058954330914327], [0.5204718927204619, 0.5058769432355543], [0.5232219627376234, 0.4637194293473269], [0.5252153396690157, 0.4744825076212118], [0.4699343547431622, 0.40498470785814744], [0.4918239092698581, 0.45087764488521503], [0.49108142153958734, 0.4537114651866121], [0.5200667901934247, 0.49907050342377646], [0.5211122341962663, 0.4568615868809287], [0.479763435546204, 0.4326323590574689]]
gs-bkm-wv1-s-0.5-9: [[0.3036005992290541, 0.24059934090205165], [0.28763967697127124, 0.23419301057665406], [0.2894238455429082, 0.23611459155040004], [0.2925463253447816, 0.23058747526538456], [0.2927120422081351, 0.23075877025540437], [0.2925463253447816, 0.23058747526538456], [0.28807541304553846, 0.23461449972141366], [0.29265649926282666, 0.2302910760856686], [0.2925463253447816, 0.23058747526538456], [0.2926564992628267, 0.2302910760856686], [0.2881454976293735, 0.23463260018772952], [0.29251913671839946, 0.23050240364482763], [0.25638135405324497, 0.2114872282414413], [0.30364619808439486, 0.24065333428000452], [0.2881637226781061, 0.23461640362482117], [0.2517339552293519, 0.20743838132717884], [0.28940429485499547, 0.23625833016649], [0.2893682688353232, 0.23611937445069522], [0.2881637226781061, 0.23461640362482117], [0.29254632534478153, 0.23058747526538456]]
gs-bkm-wv1-s-0.5-12: [[0.03257496572759403, 0.014748224819028237], [0.03343718062394713, 0.015341187559101865], [0.03168090496388921, 0.016244823278494996], [0.03364399843227286, 0.015809192512007592], [0.03270529863113952, 0.015121750410025126], [0.031325818937133126, 0.014657397720798158], [0.033489786354843246, 0.015411248859719258], [0.032506489263605644, 0.015087302935254067], [0.033663391201873866, 0.015393951328967604], [0.03236895701548909, 0.01679714523150386], [0.03281629188499379, 0.014924609260614084], [0.03130460730712914, 0.014355617489484754], [0.03150127551724376, 0.014840734996742369], [0.031358359295304145, 0.014617161276281841], [0.031443193673299105, 0.014896057600069667], [0.033948358851258506, 0.015699255967223814], [0.0334566677217181, 0.01513385204863443], [0.03293343275042198, 0.014933174145298971], [0.03215552599912945, 0.016385809217040467], [0.031891472198898485, 0.015645762005512036]]
bm-bkm-wv1-s-0.5-3: [[0.24376339139972414, 0.13152321749932086], [0.24219745010375024, 0.13251103985863688], [0.2482411361088787, 0.13448330964408972], [0.24210607304763687, 0.1334466704271634], [0.2404611174518966, 0.13309885384697745], [0.24584739241256184, 0.13269002666361468], [0.24148026608008286, 0.13044877409173591], [0.24897811429303596, 0.13376412884356365], [0.24184987869062852, 0.13075024551100856], [0.24216959821741676, 0.13039954776198576], [0.24442478400413514, 0.13909095269912253], [0.24424392597398425, 0.13304277084680188], [0.24061319801316322, 0.12927469864336644], [0.2454552500720021, 0.13290037663413684], [0.2411347921178534, 0.1342340284418807], [0.2458746808166853, 0.1332146363936634], [0.24039083370990078, 0.13197801806750745], [0.24219369138385424, 0.12969807750975812], [0.24426636438316046, 0.13263710755866198], [0.24281113925694384, 0.13470520026021104]]
bm-bkm-wv1-s-0.5-6: [[0.21635991428920956, 0.11344790381770896], [0.21404560116186142, 0.11723320938382857], [0.20579329838888147, 0.10836520592283576], [0.21550322060796231, 0.11729598079510813], [0.2137434025169103, 0.11594573558882244], [0.21743563414541375, 0.11869496723402007], [0.2133707332230508, 0.1151358814616702], [0.20937341469037052, 0.11418870001681518], [0.21073417198355351, 0.10961830693732867], [0.21474243127183737, 0.11724352838029786], [0.21633682846045965, 0.11999823306805106], [0.21199392014440152, 0.11254101232395397], [0.21216567239721773, 0.11844645065515964], [0.21262243684772555, 0.11633619796599431], [0.2068191664453899, 0.1134367846944628], [0.21136948241159742, 0.11284286285357355], [0.21897064091851576, 0.1137962551089183], [0.2151679231178537, 0.11717782710276173], [0.21719666684645295, 0.11398610123098511], [0.21804436804042726, 0.12032277518768077]]
bm-bkm-wv1-s-0.5-9: [[0.0327507322984123, 0.008332002566088698], [0.032363002775492616, 0.008034269590781193], [0.03298839383182901, 0.008349904814268606], [0.03090970470880001, 0.008006449289493367], [0.03304451283190601, 0.008361824449406634], [0.03316518268291053, 0.008382098024951577], [0.03296249771726379, 0.008195085547450411], [0.03220425994003794, 0.00790740292939321], [0.03292682647397836, 0.008361061408640165], [0.032878505617598495, 0.008283207029814174], [0.03200375458814214, 0.008260222763944551], [0.03278371345288928, 0.008283990960421362], [0.03301534698179652, 0.008177999629900413], [0.03352134231821294, 0.008588905420921373], [0.03313835383707144, 0.008368393567180166], [0.03352107360358299, 0.008589172268864834], [0.03313835383707144, 0.008368393567180166], [0.032669062799156254, 0.008087721323540836], [0.03298732591344998, 0.008174447300099584], [0.032366149154585765, 0.008014115629969044]]
